"RSTR_FCLTY_NO","YEAR","ARCD","FCLTY_TY","RSTR_NM","DTL_ADRES","AR","USE_PSBL_NMPR","COLR_HOLD_ELEFN","COLR_HOLD_ARCNDTN","CHCK_MATTER_NIGHT_OPN_AT","INPT_TIME","MODF_TIME","RM","RN_DTL_ADRES","CHCK_MATTER_WKEND_HDAY_OPN_AT","MNGDPT_CD","CHCK_MATTER_STAYNG_PSBL_AT","XCORD","YCORD","LO","LA","DTL_POSITION","WKDAY_OPER_BEGIN_TIME","WKDAY_OPER_END_TIME","WKEND_HDAY_OPER_BEGIN_TIME","WKEND_HDAY_OPER_END_TIME","FCLTY_SCLAS"
"쉼터시설번호","년도","지역코드","시설유형 중분류","쉼터명칭","상세주소","면적","이용가능인원","냉방기보유선풍기","냉방기보유에어컨","점검사항야간개방여부","입력시간","수정시간","비고","도로명상세주소","점검사항주말휴일개방여부","관리부서코드","점검사항숙박가능여부","X좌표","Y좌표","경도","위도","위치상세","평일운영시작시간","평일운영종료시간","주말휴일운영시작시간","주말휴일운영종료시간","시설유형 소분류"
"1130500160","2026","1130554500","001","미아사거리역스마트쉼터","70-6","","5","","1","Y","2026-05-29 17:05:07.000","2026-08-05 15:19:59.000","","서울특별시 강북구 도봉로 62 (롯데백화점 미아점)","Y","","","","","127.030705","37.615002","","0500","1800","","","003"
"1123000272","2026","1123061000","001","동대문구체육관","2-294","","","","","","2026-06-01 11:25:28.000","2026-06-01 11:25:28.000","","서울특별시 동대문구 답십리로 210-3  (답십리동)","Y","","","","","127.0639799","37.5722968","","0600","2100","","","002"
"1123000273","2026","1123065000","001","동대문구민체육센터","356-0","","","","","","2026-06-01 11:28:09.000","2026-06-01 11:28:09.000","","서울특별시 동대문구 장안벚꽃로 67  (장안동)","Y","","","","","127.0734928","37.5664574","","0600","2100","","","002"
"4711100638","2026","4711159000","001","대잠도서관","1001","1225","200","","2","Y","2026-06-01 11:34:13.000","2026-08-13 09:54:01.000","","경상북도 포항시 남구 시청로 1 (포항시청)","Y","","N","","","129.343663","36.01913","","0900","1800","","","002"
"4711100639","2026","4711152500","001","영암도서관","632-11","4911","200","","2","Y","2026-06-01 11:36:58.000","2026-07-09 13:11:28.000","","경상북도 포항시 남구 상공로46번길 11 (영암도서관)","Y","","","","","129.358567","36.012668","","0900","1800","","","002"
"2711000111","2026","2711064000","004","GS25대구남산점","2108-10","123","","","","N","2026-06-02 14:17:42.000","2026-08-28 13:49:17.000","","대구광역시 중구 중앙대로 274","N","","N","","","128.591358","35.857724","","0600","2300","","","002"
"5117000414","2026","5117051000","004","리사모텔(응급대피소)","846","","2","","1","","2026-03-09 16:07:59.000","2026-03-09 16:07:59.000","","강원특별자치도 동해시 천곡로 86-1 (리사모텔)","","","Y","","","129.114889","37.523193","","0000","2400","","","006"
"3017000524","2026","3017052000","004","KT_(주)몬스터_도마4거리점","174-4","73","4","","1","","2026-03-10 09:49:40.000","2026-03-11 11:20:58.000","","대전광역시 서구 도산로 45","","","","","","127.380368","36.312681","","1000","2000","","","002"
"5273000198","2026","5273000000","004","지역농협무주농협","307-0","574","174","3","1","N","2026-03-06 16:05:58.000","2026-05-18 12:59:59.000","","전북특별자치도 무주군 무주읍단천로 91","N","","N","","","127.6609928","36.0080441","","0900","1600","","","001"
"5273000199","2026","5273000000","004","반딧불신용협동조합","238-0","220","67","3","1","N","2026-03-06 16:40:38.000","2026-05-18 12:59:59.000","","전북특별자치도 무주군 무주읍 향학로 33 ","N","","N","","","127.6627646","36.0071653","","0900","1600","","","001"
